"name","slug","desc","totRating","avgRating","logoSrc"
"Tulip Retail","tulip-retail","Tulip Retail is an iOS mobile platform built exclusively for next generation retail store associates to offer a world-class omnichannel experience.",0,4,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAKoAAAAJGE2MGJiYTU3LTdkMWEtNGQ1NS05ZDFjLTYxNDVjN2UxNDZkYw.png"
"Bidvine","bidvine","Bidvine is the easiest way to find and hire local professionals to help accomplish your projects. Learn something new, redecorate your home, feel better, feel fitter, throw a great party - and more.",0,4.5,"https://www.bidvine.com/blog/wp-content/uploads/2016/05/cropped-logo-purple-300px-1.png"
"Benchling","benchling","",0,5,"https://main.bnchcdn.com/static/img/logo_250_notext.png"
"Databricks","databricks",,0,5,
"Informatica","informatica","Informatica LLC is the world’s No. 1 provider of Data Management Solutions, in the Cloud, on-premise or in a Hybrid Environment.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1422998995/o2kqcvsfqsmbesdlinnb.jpg"
"Figma","figma","The Collaborative Interface Design Tool",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1449172108/pd1hxpiw7a3qmqvcpx3e.png"
"Canadian Blood Services","canadian-blood-services","Canadian Blood Services is a national, not-for-profit charitable organization that manages the blood supply in all provinces and territories of Canada, outside of Quebec, and oversees the OneMatch Stem Cell and Marrow Network (formerly Unrelated Bone Marrow Donor Registry) and is taking steps to increase transplant opportunities for patients by collecting and storing umbilical cord blood stem cells from Canadian donors.",0,1,"https://pbs.twimg.com/profile_images/595318668545826817/5cW-6gJr.png"
"University of Toronto","university-of-toronto","",0,4,"https://pbs.twimg.com/profile_images/464851371296972800/6fpV0cvu_400x400.png"
"Zurapps Research","zurapps-research",,0,1,
"University of Guelph","university-of-guelph","The University of Guelph (U of G) is a comprehensive public research university in Guelph, Ontario, Canada.",0,4,"https://pbs.twimg.com/profile_images/459399522515292160/Ub9h5BTa_400x400.jpeg"
"Suncor Energy","suncor-energy",,0,4,
"BitTitan","bittitan","BitTitan provides cloud solutions that simplify and improve IT activities for businesses, governments, healthcare providers.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1402745309/kgefl2d4ansgfafi0scd.png"
"Pinterest","pinterest","Pinterest is a visual bookmarking tool for saving and discovering creative ideas.",0,5,"https://pbs.twimg.com/profile_images/622086313764745216/T3KEBemO_400x400.png"
"Trans-Plan","trans-plan","TRANS PLAN INC is a Canadian professional traffic and Transportation Engineering Company that creates thoughtful plans for movement in urban environments.",0,2,"https://pbs.twimg.com/profile_images/751524067543580672/uDXqmT6y.jpg"
"Intel","intel","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180325/f504461affd50c53b19e98f7c5dcd3ac.jpg"
"Plangrid","plangrid",,0,5,
"Coinbase","coinbase","A digital currency wallet service that allows for you to buy and sell bitcoin.",0,4.66666666666667,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1449482641/iuqglzcxmhuslkuo6etl.png"
"Nano One","nano-one",,0,4,
"Thalmic Labs","thalmic-labs",,0,0,
"Atomic","atomic",,0,0,
"Manulife Financial","manulife-financial",,0,0,
"Nest","nest",,0,0,
"N8 Identity","n8-identity","Identity and access management",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397194092/a147d5b6a6e936ad9c9e131a14363b09.jpg"
"Sanofi Pasteur","sanofi-pasteur","Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1474976449/c5dkv0kzaxftpyam95ln.jpg"
"Heap","heap","",0,5,"https://heapanalytics.com/img/logoDark.png"
"LimeBike","limebike",,0,5,
"Fresh Prints","fresh-prints","",0,3,"https://media.glassdoor.com/sqll/1086482/fresh-prints-squarelogo-1458669773379.png"
"PricewaterhouseCoopers (PwC)","pricewaterhousecoopers-pwc",,0,2.66666666666667,
"WorkMarket","workmarket",,0,4,
"Splunk","splunk",,0,3,
"Linamar","linamar",,0,4,
"Kinaxis","kinaxis",,0,5,
"Odyssey Re","odyssey-re","Odyssey Re is an underwriter of property and casualty treaty and facultative reinsurance, as well as specialty insurance.",0,4,"https://media.glassdoor.com/sql/18253/odysseyre-squarelogo-1436297847565.png"
"Customer Marketing Group","customer-marketing-group","Customer Marketing Group provides episodic support that is tailored to help clients make decisions that achieve their financial objectives in marketing, sales, finance and logistics. ",0,5,"https://media.licdn.com/media/p/1/000/115/034/0b6f2ad.png"
"Zugata","zugata",,0,5,
"Toronto Transit Commission","ttc","The TTC  is a public transport agency that operates transit bus, streetcar, paratransit, and subway services in Toronto, Ontario, Canada.",0,4,"https://pbs.twimg.com/profile_images/378800000335236616/2f8b9119aac5bc648e8b88ca1981e6c3_400x400.jpeg"
"AMD","amd","Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Sunnyvale, California, United States, that develops computer processors and related technologies for business and consumer markets.",0,4,"https://pbs.twimg.com/profile_images/420944512672755712/ojLaLJs8_400x400.png"
"PagerDuty","pagerduty","PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.",0,4.6,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1412797035/wnxq8kofwal2uo3pjzhu.png"
"University of Waterloo","university-of-waterloo","The University of Waterloo is a public research university with a main campus located in Waterloo, Ontario. The university offers academic programs administered by six faculties and ten faculty-based schools. The university also operates four satellite campuses and four affiliated university colleges.",0,5,"https://upload.wikimedia.org/wikipedia/en/0/03/Uwaterloo_seal.gif"
"Wattpad","wattpad","Wattpad is a free app that lets people discover and share stories about the things they love.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397751387/1b0c842bc7284342656149ec4465cd93.png"
"OpenText","opentext","",0,4,""
"Coho Data","coho-data","The Coho Data platform is the only enterprise storage solution that delivers the invisibility of cloud with true scale-out performance.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1464593989/a8079953zxmn7gb4xzav.png"
"Minted","minted","Minted is a venture-backed social commerce company that crowdsources graphic designs and content from a global design community.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397190424/52689256f8c607c80a5586f5761a9399.jpg"
"Skidmore, Owings, and Merrill","skidmore-owings-and-merrill","Skidmore, Owings & Merrill LLP (SOM) is an American architectural, urban planning, and engineering firm.",0,4,"https://upload.wikimedia.org/wikipedia/en/7/77/SOM_Square_Logo_Uploaded_2014.png"
"invision ai","invision-ai",,0,5,
"Kanjoya Inc.","kanjoya-inc","",0,3,""
"Vidyard","vidyard","Vidyard is a video marketing platform enabling customers to derive information on viewer-behavior for marketing automation systems and CRM.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1482367431/aj0mbi2n9lmod2tmku9u.jpg"
"Cognite","cognite",,0,5,
"Mesosphere","mesosphere",,0,4,
"City of Markham","city-of-markham","Markham is a city in the Regional Municipality of York within the Greater Toronto Area of Southern Ontario, Canada.",0,4,"https://pbs.twimg.com/profile_images/3257895813/beaf46db0c83e4ba6b112bf3a531dbc5_400x400.png"
"infor","infor",,0,3,
"Toast Inc.","toast-inc","",0,3.5,""
"Strava","strava","",0,3,"https://lh4.ggpht.com/GgmEZM4x4Z-Qk3OHqTxT39CoTpVS8_d4-pzaZN487inmaBPhYdqwVPmNDHSZMS1POzaZ=w300-rw"
"Blue J Legal","blue-j-legal",,0,5,
"Remind","remind",,0,0,
"Citigroup","citigroup","",0,4,""
"Digiflare","digiflare",,0,0,
"Zenefits","zenefits","Zenefits helps you manage and automate all your HR—from payroll to benefits—in one beautiful online dashboard.",0,4.5,"https://pbs.twimg.com/profile_images/666340499469393920/Ef3DMnUe_400x400.jpg"
"Nielsen","nielsen","Nielsen Holdings is a global information and measurement company that helps businesses better understand their markets.",0,3,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397181112/87de812f5cb9a7999660758bcb94255d.png"
"Tumblr","tumblr",,0,4,
"TD Bank Group","td-bank-group",,0,5,
"Palantir","palantir","Palantir is a private American software and services company headquartered in Palo Alto, California which specializes in big data analysis.",0,4,"https://pbs.twimg.com/profile_images/666784323501211649/-nzsuC6W_400x400.png"
"UseMyServices","usemyservices","UMS provides secure options to pay for goods and services online directly from your bank account.",0,2,"https://pbs.twimg.com/profile_images/598492975295922176/45_OTbTC_400x400.png"
"Stripe","stripe","A set of unified APIs and tools that instantly enable businesses to accept and manage online payments.",0,5,"https://pbs.twimg.com/profile_images/778378996580888577/MFKh-pNn_400x400.jpg"
"Department of Research and Development Canada","department-of-research-and-development-canada","Defence Research and Development Canada (DRDC) is the national leader in defence and security science and technology.",0,3.5,"https://pbs.twimg.com/profile_images/537625264277028864/14jJPXpX.png"
"Quora","quora","Quora’s mission is to share and grow the world’s knowledge, a place where you can ask questions you care about and get amazing answers",0,5,"https://qph.ec.quoracdn.net/main-qimg-31d4686e3ce2d9061d035952fd3138cd-c"
"Launchspot.io","launchspotio",,0,4,
"Yext","yext","Yext is the global location data management leader, helping 650,000+ businesses engage mobile consumers across 100+ publisher sites.",0,4.8,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397749326/f04e5b5559a651bceb9025b5d7c67d87.png"
"College of Physicians and Surgeons of Ontario","college-of-physicians-and-surgeons-of-ontario","The College of Physicians and Surgeons of Ontario is the body that regulates the practice of medicine to protect and serve the public interest.",0,5,"https://pbs.twimg.com/profile_images/3086973521/c03bf043776c57d6a88ab30b471efec1.jpeg"
"Intuit","intuit","Intuit offers business and financial management solutions for SMBs, financial institutions, consumers and accounting professionals.",0,0,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475914079/wkal1pl2pubkloqn4ykj.png"
"Zazzle","zazzle",,0,5,
"Top Hat","top-hat","Top Hat’s interactive, cloud-based teaching platform enables professors to engage students with compelling content, tools and activities.",0,5,"https://pbs.twimg.com/profile_images/3632826512/b6c6ccefdf7c66966d31a2c8e76f3e74_400x400.jpeg"
"Loblaw Digital","loblaw-digital","Loblaw Companies Limited is a Canadian food retailer that encompasses 1,000 corporate and franchise supermarkets that operates under 22 regional and market segment banners.",0,4.33333333333333,"https://pbs.twimg.com/profile_images/659457802222571520/i6jHIE8p_400x400.jpg"
"AdRoll","adroll","AdRoll is a marketing platform enabling brands of all sizes to create personalized ad campaigns based on their own website data.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397186139/6108e3905987232a69d328ed6c915b77.jpg"
"Kabuni Technologies","kabuni-technologies","Monetizing mood boards for designers and artisans.",0,5,"https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1450675997/e3s6e6vgmcuqc56dlxg5.jpg"
"Redfin","redfin","",0,5,"https://lh6.googleusercontent.com/-NGj0TOuIDVI/AAAAAAAAAAI/AAAAAAAADUw/ILNbH1Oeq2E/s0-c-k-no-ns/photo.jpg"
"PerkinElmer Labs","perkinelmer-labs",,0,4,
"Bespoke Metrics","bespoke-metrics",,0,1.4,
"Twitter","twitter","Twitter is an online news and social networking service where users post and read messages restricted to 140-characters, which are called ""tweets"".",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180207/d242197edc3ff044620cf2d8ff39d6b3.jpg"
"Habitat for Humanity Durham","habitat-for-humanity-durham","An ecumenical, grass-roots Christian housing ministry financed through private donations and utilizing volunteer labour to build and sell houses at no profit.",0,4,"https://s-media-cache-ak0.pinimg.com/736x/87/40/d0/8740d02cff2b178230a3bb2d382d4511.jpg"
"Bench Accounting","bench-accounting",,0,5,
"Office for Metropolitan Architecture","office-for-metropolitan-architecture","The Office for Metropolitan Architecture (OMA) is a Dutch architectural firm based in Rotterdam.",0,4,"https://media.glassdoor.com/sqll/594161/office-for-metropolitan-architecture-oma-squarelogo-1426756165737.png"
"Innovasium","innovasium",,0,5,
"D2L","d2l",,0,4,
"Flynn Group of Companies","flynn-group-of-companies",,0,4,
"CBC/Radio-Canada","cbcradiocanada",,0,4,
"5Crowd","5crowd",,0,2,
"Petuum Inc","petuum-inc",,0,5,
"Shopify","shopify","Shopify is the leading cloud-based, multichannel commerce platform designed for small and medium-sized businesses.",0,4.5,"https://cdn.shopify.com/assets/images/logos/shopify-bag.png"
"Purolator ","purolator",,0,4,
"SkyWatch","skywatch","SkyWatch provides modern solutions for astronomical data, including tools for astronomers and astrophysicists.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1466545223/qqtr8g0aenzliefeijwy.jpg"
"Paytm","paytm",,0,4,
"Canadian Tire","canadian-tire","Canadian Tire is a Canadian retail company which sells a wide range of automotive, sports and leisure, and home products. Some stores also sell toys and food products.",0,4,"https://pbs.twimg.com/profile_images/727128805622599680/EaCk7f2__400x400.jpg"
"Ciena","ciena",,0,5,
"Groupon","groupon","Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.",0,0,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1417875370/udfvdksqarx2pi0zvqgo.png"
"RBC","rbc","The Royal Bank of Canada is a Canadian multinational financial services company and the largest bank in Canada.",0,3.54545454545455,"https://pbs.twimg.com/profile_images/840222731702587392/zr8h5kPn.jpg"
"ADP Canada","adp-canada",,0,4,
"Brookfield","brookfield",,0,3,
"integrate.ai","integrateai",,0,5,
"Horizn","horizn","",0,2,""
"Region of Peel","region-of-peel",,0,4,
"InfoScout","infoscout","We are America's richest source of consumer purchase data. By capturing intent, behavior, and attitude through our mobile apps we have created the perfect data source to power your insights.",0,5,"http://officefetish.co/wp-content/uploads/2015/08/logo42.png"
"TunnelBear ","tunnelbear",,0,4,
"TD Securities","td-securities","TD Securities is a Canadian investment bank and financial services provider that offers advisory and capital market services to corporate, government, and institutional clients worldwide.",0,3.5,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAYcAAAAJGQwYWFhNTYzLTZjYzYtNGI5Yi05MWZjLTEyOWVlZWEyNjcwYg.png"
"Cardiogram","cardiogram",,0,5,
"Grand River Foods","grand-river-foods",,0,4,
"Thoughtworks","thoughtworks","ThoughtWorks is a privately owned, global technology company. It provides software design and delivery, and pioneering tools and consulting services. The company is closely associated with the movement for agile software development, and has contributed to a range of open source products.",0,3,"https://avatars3.githubusercontent.com/u/168376?v=3&s=200"
"LinkedIn","linkedin","LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.",0,4.83333333333333,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1398126453/adu2g57bgen4u9lb1kb1.png"
"WhatsApp","whatsapp","WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",0,0,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1456254826/lcjb9cnsapslbroh2fiq.png"
"SideFX","sidefx","",0,4,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Houdini3D_icon.png/220px-Houdini3D_icon.png"
"Lightspeed","lightspeed",,0,4,
"Yelp","yelp","Yelp is an American multinational corporation headquartered in San Francisco, California. It develops, hosts and markets Yelp.com and the Yelp mobile app, which publish crowd-sourced reviews about local businesses, as well as the online reservation service SeatMe and online food-delivery service Eat24.",0,4.23076923076923,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180386/09584e0d514d5c5e6f68efa20b88c263.png"
"Microsoft","microsoft","Microsoft, a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",0,4.17647058823529,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397182206/6835990abacfb4d14ecdbfc87641e469.jpg"
"Mosaic","mosaic",,0,5,
"Farm Business Consultants","farm-business-consultants",,0,2,
"SAP","sap","SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors.",0,3.83333333333333,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1445874684/epyk35ihqb0zakhvmnea.jpg"
"Imagine Communications","imagine-communications",,0,3.66666666666667,
"Facebook","facebook","Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.",0,4.28571428571429,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1408491700/ypqf483smhnqo0rh6mff.png"
"Amazon","amazon","Amazon.com is an international e-commerce website for consumers, sellers, and content creators.",0,3.9,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475674676/ashnt44seqheejrzougf.jpg"
"National University of Singapore","national-university-of-singapore",,0,1,
"Hubdoc","hubdoc",,0,5,
"Hewlett-Packard Enterprise ","hp","",0,5,"https://pbs.twimg.com/profile_images/614447038319570944/h_z507OY_400x400.jpg"
"Canada Pension Plan Investment Board","canada-pension-plan-investment-board","CPPIB is a Canadian Crown corporation established by way of the 1997 Canada Pension Plan Investment Board Act, to oversee and invest the funds contributed to and held by the Canada Pension Plan (CPP).",0,4.5,"https://media.glassdoor.com/sqll/349879/cpp-investment-board-squarelogo-1479839395260.png"
"InFlight Corporation","inflight-corporation",,0,5,
"Hulu","hulu","Hulu is an online video service offering hit shows, movies and documentaries through its website, Hulu.com, and other destination sites.",0,5,"https://pbs.twimg.com/profile_images/747482214011568129/Wq3Edi4r_400x400.jpg"
"Jane Street Capital","jane-street-capital","Jane Street Capital is a global proprietary trading firm that operates in New York City, London, and Hong Kong with around 500 employees.",0,5,"https://media.glassdoor.com/sqll/255549/jane-street-squarelogo-1384201197714.png"
"ClickTime","clicktime","",0,5,"https://pbs.twimg.com/profile_images/651105115047227392/XiQkwC1S_400x400.png"
"Zanbato","zanbato",,0,5,
"Twitch","twitch","Twitch is a social video platform for gamers.",0,4.66666666666667,"https://pbs.twimg.com/profile_images/2349866958/m9pjwl1x1n3nvzf8x8rc_400x400.png"
"SMART Technologies","smart-technologies","SMART Technologies develops interactive whiteboards and group collaboration tools for classrooms and meeting rooms.",0,4.33333333333333,"https://pbs.twimg.com/profile_images/793485665962827776/VowLN0hm_400x400.jpg"
"Maple Leaf Foods","maple-leaf-foods",,0,2,
"Smile.io","smileio",,0,5,
"Genesys","genesys",,0,3,
"Kira Systems","kira-systems",,0,5,
"Edisoft Inc","edisoft-inc",,0,2,
"Wave Computing","wave-computing",,0,5,
"AlertDriving","alertdriving",,0,2,
"Expedia","expedia",,0,4,
"PCL Constructors Canada Inc","pcl-constructors-canada-inc",,0,4,
"Smith + Andersen","smith-andersen",,0,5,
"Bread Finance","bread-finance",,0,3,
"Clearpath","clearpath",,0,5,
"Jan Kelley","jan-kelley",,0,4,
"Snowflake","snowflake",,0,5,
"Work Market","work-market",,0,5,
"Addepar","addepar","Addepar is a cloud-based platform connecting a user's financial data in a single repository.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397750444/305d77a42cd390ae3705e20f63bb598e.gif"
"PointClickCare","pointclickcare",,0,5,
"Hootsuite","hootsuite","Hootsuite is the most widely used platform for managing social media, loved by over 10 million people around the globe.",0,3.66666666666667,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1409850427/qsulqp9faompqqzmr0nb.jpg"
"Rogers Communications","rogers-communications",,0,5,
"Hewlett Packard Enterprise ","hewlett-packard-enterprise",,0,4,
"American Express","american-express","",0,3,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAfgAAAAJDMxMWQyYjAyLTU5ZDktNDIwOS04OGM0LTg1NzQ2NmFhZTAwNA.png"
"Scotiabank","scotiabank","Scotiabank is a Canadian multinational bank. It is the third largest bank in Canada by deposits and market capitalization.",0,3.2,"https://pbs.twimg.com/profile_images/776827804851793920/ffsVSlBO_400x400.jpg"
"SpaceX","spacex","Space Exploration Technologies Corporation, better known as SpaceX, is an American aerospace manufacturer and space transport services company headquartered in Hawthorne, California, United States.",0,0,"https://static1.squarespace.com/static/556cd56de4b0728bb8d2e2c9/t/57b5085c9f745661cd6ce926/1471481950950/spacex_logo_square.png?format=500w"
"TribalScale","tribalscale","TribalScale is a mobile first company that specializes in connected devices and the Internet of Things. ",0,3.66666666666667,"https://pbs.twimg.com/profile_images/702548857159340033/uojYxo2T.png"
"Sensibill","sensibill",,0,4.5,
"Relic Entertainment","relic-entertainment","Relic Entertainment is a Canadian video game developer founded in 1997. The studio specializes in PC real-time strategy games and is known for series such as Homeworld, Warhammer 40,000: Dawn of War, and Company of Heroes.",0,4,"https://pbs.twimg.com/profile_images/623612511518986244/Bj80hIdD.png"
"Focal Systems","focal-systems",,0,5,
"Big Viking Games","big-viking-games","Big Viking Games builds mobile & social games. We also often use HTML5 to create & pioneer incredible new game experiences!",0,5,"https://pbs.twimg.com/profile_images/378800000757381247/138dc20ef940ca60d5c9feecd42e6634_400x400.jpeg"
"Qualcomm","qualcomm","Qualcomm is an American multinational semiconductor and telecommunications equipment company that designs and markets wireless telecommunications products and services.",0,0,"https://pbs.twimg.com/profile_images/785996869377765376/qQk8Z2z8.jpg"
"Prodigy Game","prodigy-game","Prodigy is a free, self-paced math game for children between the grades 1 to 8.",0,5,"https://prodigygame.com/assets/images/logo/og-image.jpg"
"Kimberly Clark","kimberly-clark",,0,5,
"Canadian Index of Wellbeing","canadian-index-of-wellbeing","The Canadian Index of Wellbeing is a composite index, composed of eight interconnected domains that measures stability and change in the wellbeing of Canadians over time.",0,5,"https://upload.wikimedia.org/wikipedia/en/0/0e/Canadian_Index_of_Wellbeing_Logo.png"
"Matcor Matsu","matcor-matsu",,0,2,
"Paypal","paypal","PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders.",0,0,"https://pbs.twimg.com/profile_images/615564498410156032/voZWCZGc.jpg"
"Index Exchange","index-exchange",,0,3,
"Systemgroup Consulting","systemgroup-consulting","Systemgroup Consulting is a team of business and technology professionals who are passionate about helping clients realize their vision.",0,3.5,"https://media.glassdoor.com/sqll/387513/systemgroup-squarelogo.png"
"Smucker Foods Of Canada Corporation","smucker-foods-of-canada-corporation","Smucker's is an American manufacturer of fruit spreads, ice cream toppings, beverages, shortening, peanut butter, and other products in North America.",0,4,"https://pbs.twimg.com/profile_images/780416055554498560/qCN27xwg_400x400.jpg"
"Tulip","tulip",,0,5,
"Ceridian","ceridian",,0,5,
"Hughes","hughes",,0,4,
"Premise Data","premise-data",,0,4,
"Credit Karma","credit-karma",,0,5,
"Fundserv","fundserv",,0,3.5,
"York Region","york-region","",0,3.5,"https://pbs.twimg.com/profile_images/805861223367458816/6Oo1sIcJ_400x400.jpg"
"Bell","bell",,0,5,
"Jet Propulsion Laboratory","jpl","The Jet Propulsion Laboratory is a federally funded research and development center and NASA field center. The laboratory's primary function is the construction and operation of planetary robotic spacecraft, though it also conducts Earth-orbit and astronomy missions.",0,4,"https://s-media-cache-ak0.pinimg.com/736x/64/c3/df/64c3dffbbdbbba6c0b679dddca2e4366.jpg"
"Hearsay Systems","hearsay-systems","Hearsay Systems and its Hearsay 360 platform unifies the advisor-client experience so financial advisors and insurance agents can build stronger relationships with clients by delivering the right message on the right digital channel. ",0,4,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAkUAAAAJDVmNzdlMjg3LThiZTItNGFjMC1iYTc5LWZjZWM3MTdhMDJjNw.png"
"Visier","visier",,0,5,
"Virtek Vision","virtek-vision",,0,5,
"Global Trading Systems","global-trading-systems",,0,5,
"Lifion by ADP","lifion-by-adp",,0,3.66666666666667,
"Wish","wish","",0,4.28571428571429,"https://pbs.twimg.com/profile_images/781242203863601153/OBn66coh_400x400.jpg"
